dateOfLoss,occupancyType,countyCode,causeOfDamage,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,buildingDamageAmount,netBuildingPaymentAmount
2015-10-04T00:00:00.000Z,1,45019.0,4,1391.62,0.0,5822.0,1391.62
2015-10-04T00:00:00.000Z,11,45051.0,2,1225.67,0.0,2226.0,1225.67
2015-10-03T00:00:00.000Z,1,45035.0,2,25160.7,0.0,26411.0,25160.7
2015-10-02T00:00:00.000Z,4,45019.0,0,,,,0.0
2015-10-05T00:00:00.000Z,1,45019.0,4,10645.64,0.0,10851.0,10645.64
2015-10-04T00:00:00.000Z,11,45085.0,2,119947.65,0.0,113767.0,119947.65
2015-10-03T00:00:00.000Z,1,45031.0,2,34104.46,0.0,35604.0,34104.46
2015-10-04T00:00:00.000Z,1,45019.0,4,12994.23,0.0,14994.0,12994.23
2015-10-05T00:00:00.000Z,1,45043.0,4,22976.2,17549.08,23976.0,22976.2
2015-12-28T00:00:00.000Z,1,45023.0,2,19553.64,3103.27,20803.0,19553.64
2015-10-09T00:00:00.000Z,11,45019.0,,,,,0.0
2015-11-03T00:00:00.000Z,11,45019.0,4,,,1198.0,0.0
2015-10-04T00:00:00.000Z,11,45051.0,0,15119.21,2580.93,16120.0,15119.21
2015-10-03T00:00:00.000Z,11,45051.0,4,3735.73,0.0,4750.0,3735.73
2015-10-03T00:00:00.000Z,11,45043.0,4,2681.47,0.0,3931.0,2681.47
2015-10-04T00:00:00.000Z,11,45085.0,4,38497.68,0.0,32980.0,38497.68
2015-10-03T00:00:00.000Z,1,45051.0,0,4678.02,0.0,5928.0,4678.02
2015-10-03T00:00:00.000Z,18,45051.0,1,1617.83,0.0,3618.0,1617.83
2015-10-03T00:00:00.000Z,11,45019.0,4,57232.79,30440.42,51956.0,57232.79
2015-10-04T00:00:00.000Z,18,45051.0,4,161198.29,36721.75,166198.0,161198.29
2015-10-05T00:00:00.000Z,4,45019.0,2,8576.19,0.0,9826.0,8576.19
2015-10-02T00:00:00.000Z,11,45019.0,0,2373.71,0.0,4374.0,2373.71
2015-10-04T00:00:00.000Z,18,45089.0,0,59379.11,55000.0,64380.0,59379.11
