Facility Name,State,County/Parish,ed_wait_minutes,Sample,Footnote
SOUTHEAST HEALTH MEDICAL CENTER,AL,HOUSTON,Not Available,Not Available,1
MARSHALL MEDICAL CENTERS,AL,MARSHALL,242,30,
NORTH ALABAMA MEDICAL CENTER,AL,LAUDERDALE,218,13,
MIZELL MEMORIAL HOSPITAL,AL,COVINGTON,242,57,
ST. VINCENT'S EAST,AL,JEFFERSON,Not Available,Not Available,1
DEKALB REGIONAL MEDICAL CENTER,AL,DE KALB,346,15,
SHELBY BAPTIST MEDICAL CENTER,AL,SHELBY,96,11,
HELEN KELLER HOSPITAL,AL,COLBERT,Not Available,Not Available,1
DALE MEDICAL CENTER,AL,DALE,279,11,
FLOYD CHEROKEE MEDICAL CENTER,AL,CHEROKEE,Not Available,Not Available,1
BAPTIST MEDICAL CENTER SOUTH,AL,MONTGOMERY,280,16,
JACKSON HOSPITAL & CLINIC INC,AL,MONTGOMERY,136,52,
THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,LEE,303,29,
UNIVERSITY OF ALABAMA HOSPITAL,AL,JEFFERSON,399,125,
COMMUNITY HOSPITAL INC,AL,ELMORE,111,12,
CULLMAN REGIONAL MEDICAL CENTER,AL,CULLMAN,346,16,
ANDALUSIA HEALTH,AL,COVINGTON,324,13,
HUNTSVILLE HOSPITAL,AL,MADISON,300,20,
GADSDEN REGIONAL MEDICAL CENTER,AL,ETOWAH,302,22,
MARION REGIONAL MEDICAL CENTER,AL,MARION,Not Available,Not Available,1
FAYETTE MEDICAL CENTER,AL,FAYETTE,Not Available,Not Available,1
RIVERVIEW REGIONAL MEDICAL CENTER,AL,ETOWAH,Not Available,Not Available,1
MEDICAL CENTER ENTERPRISE,AL,COFFEE,237,11,
GREENE COUNTY HOSPITAL,AL,GREENE,143,25,
LAKE MARTIN COMMUNITY HOSPITAL,AL,TALLAPOOSA,Not Available,Not Available,1
FLOWERS HOSPITAL,AL,HOUSTON,Not Available,Not Available,1
